,MAE,RMSE,R2
Linear Regression,20.36095056880999,25.155988542545973,0.6347791232256348
Random Forest,19.747592448231238,27.707197072836873,0.5569446290490389
XGBoost,19.174747467041016,26.575380608604412,0.5924022197723389
Weighted Ensemble,19.276082080620096,26.876404359334064,0.5831160729795133
